,ApplID,Report_ID,answer,question
0,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248548,"159.80
Acre-Feet",Amount Extracted
1,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220102,"83785
Hundred Cubic-Feet",Amount Extracted
2,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=181622,"104.20
Acre-Feet",Amount Extracted
3,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168665,"104.20
Acre-Feet",Amount Extracted
4,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=125467,"94
Acre-Feet",Amount Extracted
5,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109451,"48.73
Acre-Feet",Amount Extracted
6,G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248138,"871.30
Acre-Feet",Amount Extracted
7,G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220050,"327385
Hundred Cubic-Feet",Amount Extracted
8,G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169548,"1163.50
Acre-Feet",Amount Extracted
9,G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124884,"796
Acre-Feet",Amount Extracted
10,G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108833,"552.25
Acre-Feet",Amount Extracted
11,G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248111,"243.70
Acre-Feet",Amount Extracted
12,G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220587,"66176
Hundred Cubic-Feet",Amount Extracted
13,G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169546,"133.10
Acre-Feet",Amount Extracted
14,G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124503,"176
Acre-Feet",Amount Extracted
15,G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108432,"160.53
Acre-Feet",Amount Extracted
16,G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=82869,"160.53
Acre-Feet",Amount Extracted
17,G361703,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248110,"13.90
Acre-Feet",Amount Extracted
18,G361703,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220221,"7415
Hundred Cubic-Feet",Amount Extracted
19,G361703,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169545,"19.40
Acre-Feet",Amount Extracted
20,G361703,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=125210,"19
Acre-Feet",Amount Extracted
21,G361703,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109180,"17.88
Acre-Feet",Amount Extracted
22,G363793,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248388,"1037.30
Acre-Feet",Amount Extracted
23,G363793,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220267,"694986
Hundred Cubic-Feet",Amount Extracted
24,G363793,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169742,"1843.30
Acre-Feet",Amount Extracted
25,G363793,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=149087,"1902
Acre-Feet",Amount Extracted
26,G363793,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124186,"1644
Acre-Feet",Amount Extracted
27,G363793,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108100,"1648.26
Acre-Feet",Amount Extracted
28,G363238,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248242,"942.20
Acre-Feet",Amount Extracted
29,G363238,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220533,"401401
Hundred Cubic-Feet",Amount Extracted
30,G363238,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168750,"470.50
Acre-Feet",Amount Extracted
31,G363238,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124440,"796
Acre-Feet",Amount Extracted
32,G363238,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108363,"1791.06
Acre-Feet",Amount Extracted
33,G363799,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248392,"1612.10
Acre-Feet",Amount Extracted
34,G363799,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220822,"949960
Hundred Cubic-Feet",Amount Extracted
35,G363799,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169744,"1842
Acre-Feet",Amount Extracted
36,G363799,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=149089,"2642
Acre-Feet",Amount Extracted
37,G363799,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=125073,"2502
Acre-Feet",Amount Extracted
38,G363799,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109038,"3050.56
Acre-Feet",Amount Extracted
39,G363798,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248391,"167.50
Acre-Feet",Amount Extracted
40,G363798,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220637,"135520
Hundred Cubic-Feet",Amount Extracted
41,G363798,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169743,"488.70
Acre-Feet",Amount Extracted
42,G363798,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=149088,"780
Acre-Feet",Amount Extracted
43,G363798,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124188,"737
Acre-Feet",Amount Extracted
44,G363798,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108102,"111.90
Acre-Feet",Amount Extracted
45,G362421,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248133,"269.60
Acre-Feet",Amount Extracted
46,G362421,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=219534,"134063
Hundred Cubic-Feet",Amount Extracted
47,G362421,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169191,"180.40
Acre-Feet",Amount Extracted
48,G362421,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=125036,"227
Acre-Feet",Amount Extracted
49,G362421,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108999,"31.72
Acre-Feet",Amount Extracted
50,G361995,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248117,"309.30
Acre-Feet",Amount Extracted
51,G361995,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220779,"111374
Hundred Cubic-Feet",Amount Extracted
52,G361995,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169001,"274.10
Acre-Feet",Amount Extracted
