,ApplID,Report_ID,Month,"Amount directly diverted or
              collected to storage
              (Acre-Feet)","Amount beneficially used
              (Acre-Feet)","Amount directly diverted or
              collected to storage
              (Gallons)","Amount beneficially used
              (Gallons)","Amount directly diverted or
              collected to storage
              (Unknown)","Amount beneficially used
              (Unknown)","Amount directly diverted or
              collected to storage
              (Million Gallons)","Amount beneficially used
              (Million Gallons)",NA
0,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248548,,,,,,,,,,Not applicable; Surface Diversion was not chosen as a type of diversion.
1,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220102,,,,,,,,,,Not applicable; Surface Diversion was not chosen as a type of diversion.
2,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=181622,,,,,,,,,,Not applicable; Surface Diversion was not chosen as a type of diversion.
3,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168665,,,,,,,,,,Not applicable; Surface Diversion was not chosen as a type of diversion.
4,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=125467,,,,,,,,,,Not applicable; Surface Diversion was not chosen as a type of diversion.
5,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109451,,,,,,,,,,Not applicable; Surface Diversion was not chosen as a type of diversion.
6,G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248138,,,,,,,,,,Not applicable; Surface Diversion was not chosen as a type of diversion.
7,G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220050,,,,,,,,,,Not applicable; Surface Diversion was not chosen as a type of diversion.
8,G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169548,,,,,,,,,,Not applicable; Surface Diversion was not chosen as a type of diversion.
9,G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124884,,,,,,,,,,Not applicable; Surface Diversion was not chosen as a type of diversion.
