,question,answer,ApplID,Report_ID
0,I have reviewed my water right certificate,Yes,D030834,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=372093
1,I have reviewed my water right certificate,Yes,D030834,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=323549
2,I have reviewed my water right certificate,Yes,D030952,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=372018
3,I have reviewed my water right certificate,Yes,D032404,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=333798
4,I have reviewed my water right certificate,Yes,D032327,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382159
5,I have reviewed my water right certificate,Yes,D032327,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382162
6,I have reviewed my water right certificate,Yes,D032327,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382163
7,I have reviewed my water right certificate,Yes,D032407,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382388
8,I have reviewed my water right certificate,Yes,D032407,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382387
9,I have reviewed my water right certificate,Yes,D032407,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382389
10,I have reviewed my water right certificate,Yes,D032407,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382365
11,I have reviewed my water right certificate,Yes,D032304,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382073
12,I have reviewed my water right certificate,Yes,D032821,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=380350
13,I have reviewed my water right certificate,Yes,D032686,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=380216
14,I have reviewed my water right certificate,Yes,D032394,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382065
15,I have reviewed my water right certificate,Yes,D032394,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=372031
16,I have reviewed my water right certificate,Yes,L032378,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381979
17,I have reviewed my water right certificate,Yes,L032378,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381840
18,I have reviewed my water right certificate,Yes,L032378,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=372419
19,I have reviewed my water right certificate,Yes,L032391,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381974
20,I have reviewed my water right certificate,Yes,L032391,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=372304
21,I have reviewed my water right certificate,Yes,L032682,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=372512
22,I have reviewed my water right certificate,Yes,L032388,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381972
23,I have reviewed my water right certificate,Yes,L032388,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381829
24,I have reviewed my water right certificate,Yes,L032388,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=372449
25,I have reviewed my water right certificate,Yes,L032389,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=372450
26,I have reviewed my water right certificate,Yes,L032390,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381973
27,I have reviewed my water right certificate,Yes,L032390,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381833
28,I have reviewed my water right certificate,Yes,L032390,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=372483
29,I have reviewed my water right certificate,Yes,L032376,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=372258
30,I have reviewed my water right certificate,Yes,D032483,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=371654
