,Description of intake location changes,Description of noncompliance with terms and conditions,Description of place of use changes,Description of type of use changes,I am complying with all terms and conditions,I have reviewed my water right permit,Intake location has been changed,Place of use has changed,Type of use has changed,ApplID,Report_ID
0,,"Out of season direct diversion (Nov., Jan.) and storage (Sep).  See comments.",,,No,,,,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112755
1,,Some apparent out of season storage,,,No,,,,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157396
2,,Potential out of season direct diversion.  Potential diversions within curtailment period.,,,No,,,,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207435
3,,Some direct diversion and storage collection out of season and during curtailment notice period.,,,No,,,,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235102
4,,some potential out of season direct diversion in January and December.,,,No,,,,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=294204
5,,"Some potential out of season direct diversion in January, November, and December.",,,No,,,,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340920
6,,"Some potential out of season direct diversion in January, November, and December.",,,No,,,,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382181
7,,see remarks,,,No,Yes,,,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49938
8,,"diversion out of season (Jan, Nov, Dec)",,,No,,,,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85544
9,,,,,Yes,,,,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=111493
10,,,,,Yes,,,,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112372
11,,,,,Yes,,,,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=151192
12,,,,,Yes,,,,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=151240
13,,,,,Yes,,,,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=151532
