,Crop,Multiple Crops,Area Irrigated (Acres),Primary Irrigation Method,ApplID,Report_ID
0,Cannabis,No,0.3673094582185490,"Low-volume (example: micro-sprinkler, drip)",S026985,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=357810
1,Grapes,No,52,,S022198,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=366116
2,Cannabis,No,0.23,"Low-volume (example: micro-sprinkler, drip)",S027071,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=362371
3,Vegetables,No,0.01,"Low-volume (example: micro-sprinkler, drip)",S027071,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=362371
4,Vegetables,Yes,193,Sprinkler,S017601,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381677
5,Vegetables,Yes,193,Sprinkler,S017601,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381675
6,Vegetables,Yes,193,Sprinkler,S017601,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381673
7,Vegetables,Yes,193,Sprinkler,S017601,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381671
8,Vegetables,Yes,193,Sprinkler,S017607,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381636
9,Vegetables,Yes,193,Sprinkler,S017607,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381618
10,Vegetables,Yes,193,Sprinkler,S017607,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381617
11,Vegetables,Yes,193,Sprinkler,S017607,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381616
12,Vegetables,Yes,1536,Sprinkler,S017626,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381369
13,Vegetables,Yes,1536,Sprinkler,S017626,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381368
14,Vegetables,Yes,1536,Sprinkler,S017626,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381367
15,Vegetables,Yes,1536,Sprinkler,S017626,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381376
16,Vegetables,Yes,1536,Sprinkler,S017626,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381366
17,Vegetables,Yes,1536,Sprinkler,S017629,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381323
18,Vegetables,No,1536,Sprinkler,S017629,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381321
19,Vegetables,Yes,1536,Sprinkler,S017629,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381320
20,Vegetables,Yes,1536,Sprinkler,S017629,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381319
21,Vegetables,Yes,1536,Sprinkler,S017623,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381375
22,Vegetables,Yes,1536,Sprinkler,S017623,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381374
23,Vegetables,Yes,1536,Sprinkler,S017623,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381373
24,Vegetables,Yes,1536,Sprinkler,S017623,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381372
25,Grapes,Yes,68,,S019325,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=356911
26,Grapes,Yes,68,,S019325,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=318571
27,Other,No,52,Sprinkler,S021527,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=363738
28,Pasture,Yes,15,Surface (example: flood),S013427,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=380141
29,Pasture,Yes,15,Surface (example: flood),S013427,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=380140
30,Pasture,Yes,15,Surface (example: flood),S013427,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=380137
31,Pasture,Yes,15,Surface (example: flood),S013427,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=380136
32,Pasture,Yes,15,Surface (example: flood),S013427,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=127590
33,Pasture,Yes,15,Surface (example: flood),S013427,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=135616
34,Pasture,Yes,15,Surface (example: flood),S013427,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=38552
35,Pasture,No,15,Surface (example: flood),S013427,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=38553
36,Grapes,No,52,"Low-volume (example: micro-sprinkler, drip)",S027620,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=371473
37,Grapes,No,24,,A031004,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339797
38,Cannabis,Yes,0.11,"Low-volume (example: micro-sprinkler, drip)",S027589,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=360143
39,Cannabis,No,0.05,Sprinkler,S027485,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=362356
40,Pasture,Yes,1.20,,S027466,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=355569
41,Pasture,Yes,1.20,,S027466,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339116
42,Pasture,No,12,Sprinkler,S027464,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=371451
43,Pasture,No,8.50,Sprinkler,S027463,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=357873
44,Grapes,Yes,3065,,A012919B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=345319
45,Tree Fruit (other),No,1000,,A012919B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=345319
46,Grapes,No,30,,S027338,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382370
47,Tree Fruit (other),No,10,,S027338,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382370
48,Grapes,No,30,,S027338,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=364669
49,Tree Fruit (other),No,10,,S027338,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=364669
50,Almonds and Other Nuts,Yes,80,Sprinkler,S027432,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=360142
