,question,answer,ApplID,Report_ID
0,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248548
1,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220102
2,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=181622
3,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168665
4,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=125467
5,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109451
6,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248138
7,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220050
8,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169548
9,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124884
10,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108833
11,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248111
12,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220587
13,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169546
14,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124503
15,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108432
16,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=82869
17,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G361703,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248110
18,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G361703,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220221
19,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G361703,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169545
20,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G361703,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=125210
21,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G361703,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109180
22,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363793,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248388
23,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363793,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220267
24,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363793,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169742
25,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363793,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=149087
26,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363793,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124186
27,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363793,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108100
28,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363238,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248242
29,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363238,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220533
30,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363238,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168750
31,Ownership Type,"Owner of land on which well or point of diversion is located, and is extracting/diverting water",G363238,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124440
