,question,answer,ApplID,Report_ID
0,I have reviewed my water right permit,Yes,A028597,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293971
1,I have reviewed my water right permit,Yes,A028597,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235900
2,I have reviewed my water right permit,Yes,A028597,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208086
3,I have reviewed my water right permit,Yes,A028597,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157312
4,I have reviewed my water right permit,No,A028597,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=113033
5,I have reviewed my water right permit,Yes,A028597,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85824
6,I have reviewed my water right permit,Yes,A031231,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=294028
7,I have reviewed my water right permit,Yes,A031231,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236501
8,I have reviewed my water right permit,Yes,A031231,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207943
9,I have reviewed my water right permit,Yes,A031231,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157366
10,I have reviewed my water right permit,No,A031231,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112532
11,I have reviewed my water right permit,No,A031231,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85321
12,I have reviewed my water right permit,Yes,A028334,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293492
13,I have reviewed my water right permit,Yes,A028334,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235854
14,I have reviewed my water right permit,Yes,A028334,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207963
15,I have reviewed my water right permit,Yes,A028334,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156832
16,I have reviewed my water right permit,Yes,A028334,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112555
17,I have reviewed my water right permit,Yes,A028334,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85346
18,I have reviewed my water right permit,Yes,A028756,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293430
19,I have reviewed my water right permit,Yes,A028756,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235927
