,6a. Construction work has commenced,6b. Construction is completed,6c. Beneficial uses of water has commenced,6d. Project will be completed within the time period specified in the permit,6e. Explanation of work remaining to be done,6f. Estimated date of completion,Beneficial uses of water has commenced,Construction is completed,Construction work has commenced,Estimated date of completion,Explanation of work remaining to be done,Project Status,Project will be completed within the time period specified in the permit,ApplID,Report_ID
0,Yes,Yes,Yes,Yes,Reclamation has a licensing request on file with the SWRCB.  Reclamation also has a petition for indefinite change on file with the SWRCB for implementation of the San Joaquin River Restoration Program.  Reclamation understands that the licensing effort will continue after the SWRCB issues an order on this petition.,12/31/2013,,,,,,Not Complete,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112755
1,,,,,,,,,,,,Complete,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157396
2,Yes,Yes,Yes,No,Reclamation is working with State Water Board staff toward licensing.,12/31/2030,,,,,,Not Complete,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207435
3,Yes,Yes,Yes,No,Reclamation is working with state water board staff toward licensing.,12/31/2030,,,,,,Not Complete,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235102
4,,,,,,,,,,,,Complete,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=294204
5,,,,,,,,,,,,Complete,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340920
6,,,,,,,,,,,,Complete,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382181
7,,,,,,,Yes,Yes,Yes,12/31/2030,Petition has been filed to extend time period to maximize beneficial use.,Not Complete,No,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49938
8,Yes,Yes,Yes,No,Petition has been filed to extend time period to maximize beneficial use.,12/31/2030,,,,,,Not Complete,,A000234,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85544
9,,,,,,,,,,,,Complete,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=111493
10,,,,,,,,,,,,Complete,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112372
11,,,,,,,,,,,,Complete,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=151192
12,,,,,,,,,,,,Complete,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=151240
13,,,,,,,,,,,,Complete,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=151532
14,,,,,,,,,,,,Complete,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157397
15,,,,,,,,,,,,Complete,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208331
16,,,,,,,,,,,,Complete,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235103
17,,,,,,,,,,,,Complete,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=294058
18,,,,,,,,,,,,Complete,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=341066
19,,,,,,,,,,,,Complete,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36732
20,,,,,,,,,,,,Complete,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50075
21,,,,,,,,,,,,Complete,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85158
22,Yes,No,Yes,No,An extension of time request has been filed and the EIR process is underway.  Additional storage needs to be constructed.,12/31/2032,,,,,,Not Complete,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=113100
23,Yes,No,Yes,No,An extension of time request has been filed and the EIR process is underway.  Additional storage needs to be constructed.,12/31/2032,,,,,,Not Complete,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157398
24,Yes,No,Yes,No,An extension of time request has been filed and the EIR process is underway.  Additional storage needs to be constructed.,12/31/2032,,,,,,Not Complete,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=180860
25,Yes,No,Yes,No,An extension of time request has been filed and the EIR process is underway.  Additional storage needs to be constructed.,12/31/2032,,,,,,Not Complete,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207803
26,Yes,No,Yes,No,An extension of time request has been filed and the EIR process is underway.  Additional storage needs to be constructed.,12/31/2032,,,,,,Not Complete,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235104
27,Yes,No,Yes,No,An extension of time request has been filed and the EIR process is underway.  Additional storage needs to be constructed.,12/31/2032,,,,,,Not Complete,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=294059
