,question,answer,ApplID,Report_ID
0,Local Agency,Submitter does not report to a local agency.,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248548
1,Local Agency,Submitter does not report to a local agency.,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220102
2,Local Agency,Submitter does not report to a local agency.,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=181622
3,Local Agency,Submitter does not report to a local agency.,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168665
4,Local Agency,Submitter does not report to a local agency.,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=125467
5,Local Agency,Submitter does not report to a local agency.,G363805,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109451
6,Local Agency,Submitter does not report to a local agency.,G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248138
7,Local Agency,Submitter does not report to a local agency.,G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220050
8,Local Agency,Submitter does not report to a local agency.,G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169548
9,Local Agency,Submitter does not report to a local agency.,G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124884
10,Local Agency,Submitter does not report to a local agency.,G362447,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108833
11,Local Agency,Submitter does not report to a local agency.,G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=248111
12,Local Agency,Submitter does not report to a local agency.,G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220587
13,Local Agency,Submitter does not report to a local agency.,G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169546
14,Local Agency,Submitter does not report to a local agency.,G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124503
15,Local Agency,Submitter does not report to a local agency.,G361738,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108432
