,Permit_Issuance_Date,License_Issuance_Date,Face_Value_Amount,Subtypes_Statements_Only,Application_Acceptance_Date,ApplID
0,,,0.0,,,UN000404
1,,,0.0,,,UN000327
2,,,0.0,,,UN000718
3,,,0.0,,,UN000740
4,,,0.0,,,UN000581
5,,,0.0,,,UN001040
6,,,0.0,,2014-12-09,UN000834
7,,,0.0,,,UN000785
8,,,0.0,,,UN001027
9,,,0.0,,,UN001117
10,,,0.0,,,UN001213
11,,,0.0,,,31-10-02
12,,,0.0,,,UN000589
13,,,0.0,,,UN000590
14,,,0.0,,,UN000812
15,,,0.0,,,UN000950
16,,,0.0,,,UN001014
17,,,0.0,,,J000023
18,,,0.0,,,NJ000233
19,,,0.0,,,UN000837
20,,,0.0,,2008-04-08,43-13-01
21,,,0.0,,,UN000294
22,,,0.0,,,UN001034
23,,,0.0,,,UN001101
24,,,0.0,,,47-05-03
25,,,0.0,,,UN000584
26,,,0.0,,,UN000652
27,,,0.0,,,UN001033
28,,,0.0,,,UN000954
29,,,0.0,,,UN001131
30,,,0.0,,,NJ000228
31,,,0.0,,2014-06-24,UN000833
32,,,0.0,,,54-15-03
33,,,0.0,,,UN000706
34,,,0.0,,,UN000395
35,,,0.0,,,UN000363
36,,,0.0,,,UN000756
37,,,0.0,,,UN000902
38,,,0.0,,,UN000868
39,,,0.0,,2008-04-25,45-07-09
40,,,0.0,,,UN000361
41,,,0.0,,,UN000768
42,,,0.0,,,UN000858
43,,,0.0,,2014-11-05,UN000998
44,,,0.0,,2014-09-05,UN000803
45,,,0.0,,,UN000583
46,,,0.0,,,UN000846
47,,,0.0,,,J000027
48,,,0.0,,,J000026
49,,,0.0,,,40-36-01
50,,,0.0,,,UN000579
51,,,0.0,,,UN000308
52,,,0.0,,,UN000972
53,,,0.0,,,UN000787
54,,,0.0,,,UN000999
55,,,0.0,,,UN000922
56,,,0.0,,,UN000885
57,,,0.0,,,UN000973
58,,,0.0,,,UN000875
59,,,0.0,,,UN001240
60,,,0.0,,,NJ000225
61,,,0.0,,,NJ000231
62,,,0.0,,,UN000847
63,,,0.0,,,32-25-01
64,,,0.0,,,UN000396
65,,,0.0,,,UN000291
66,,,0.0,,,UN000780
67,,,0.0,,,UN001047
68,,,0.0,,,UN001069
69,,,0.0,,,UN001327
70,,,0.0,,,29-00-01
71,,,0.0,,,UN000360
72,,,0.0,,,UN000871
73,,,0.0,,,UN001099
74,,,0.0,,,34-00
75,,,0.0,,,34-04-05
76,,,0.0,,,UN000576
77,,,0.0,,,UN000257
78,,,0.0,,,UN001028
79,,,0.0,,,UN000925
80,,,0.0,,,UN000930
81,,,0.0,,,UN001074
82,,,0.0,,,NJ000232
83,,,0.0,,,UN000831
84,,,0.0,,,40-01-13
85,,,0.0,,,UN000318
86,,,0.0,,,UN000357
87,,,0.0,,,UN000300
88,,,0.0,,,UN001029
89,,,0.0,,,UN001060
90,,,0.0,,,UN001084
91,,,0.0,,,UN000829
92,,,0.0,,,45-48-01
93,,,0.0,,,UN000424
94,,,0.0,,,UN000313
95,,,0.0,,,UN000892
96,,,0.0,,,UN000580
97,,,0.0,,,49-15-06
98,,,0.0,,2014-12-09,UN000835
99,,,0.0,,,UN001021
100,,,0.0,,,UN001072
101,,,0.0,,,26-18-03
102,,,0.0,,,46-13-02
103,,,0.0,,,45-07-13
104,,,0.0,,,33-11-05
105,,,0.0,,,UN000861
106,,,0.0,,2013-08-27,UN000991
107,,,0.0,,,UN000565
108,,,0.0,,,NJ000230
109,,,0.0,,,NJ000237
110,,,0.0,,,UN000869
111,,,0.0,,,55-03-03
112,,,0.0,,,UN000307
113,,,0.0,,,UN000873
114,,,0.0,,,UN001001
115,,,0.0,,,UN000900
116,,,0.0,,,UN000883
117,,,0.0,,,45-07-11
118,,,0.0,,,45-07-12
119,,,0.0,,,46-09-02
120,,,0.0,,,53-35-01
121,,,0.0,,2008-04-25,45-07-04
122,,,0.0,,,UN000406
123,,,0.0,,,UN000407
124,,,0.0,,,UN000297
125,,,0.0,,2014-09-05,UN000804
126,,,0.0,,,UN000849
127,,,0.0,,,NJ000238
128,,,0.0,,2008-04-25,45-07-06
129,,,0.0,,,UN000808
130,,,0.0,,,UN000870
131,,,0.0,,,52-21-01
132,,,0.0,,2015-04-07,UN000877
133,,,0.0,,,UN001017
134,,,0.0,,,UN000924
135,,,0.0,,,A032929
136,,,0.0,,,UN001212
137,,,0.0,,,NJ000226
