ApplID,lat,long
UN000297,38.094,-122.9371
UN001154,37.32616,-121.10293
UN001154,37.31875,-121.09601
D032762,39.340268,-123.228815
D032762,39.34016,-123.22928
S026699,40.2434,-124.1598
D032695,40.102665,-123.730404
D032589,40.2556,-124.1088
D032402,40.12702381,-123.917931
D032606,39.820722,-123.526463
D032663,40.0732,-123.994
D032750,39.915586,-123.597432
D032861,40.2438,-123.4959
D032861,40.236,-123.501
D032786,40.75557841,-123.5026571
D032637,40.73188,-123.69029
D032637,40.73178,-123.69073
D032233,40.1084,-123.919
D032652,40.9679,-124.07
D032730,40.6361,-123.4684
D032643,39.847,-123.141
S023170,38.4686,-121.5066
S023180,38.4702,-121.5077
D032584,40.193424,-123.90564
D032780,40.47109899,-123.7148025
D032739,40.4756,-123.727
D032421,40.849791,-123.88469
D032421,40.848254,-123.876429
D030834,36.39948673,-121.8765766
L031503,38.54949565,-122.0254523
D031551,40.65845336,-122.8971023
S023528,38.675,-121.6294
D030964,40.8484,-121.9027
D031547,38.65098474,-121.2473443
L031493,38.5483107,-122.0317527
D030401,39.29521977,-121.0639652
D030948,37.2649,-122.3367
D030952,36.39090902,-121.8217039
D030952,36.38952806,-121.8219936
D030754,38.93002412,-123.2954986
D030771,38.70852305,-122.6136651
D030771,38.71045525,-122.6117541
D032281,40.1283,-123.9184
D032873,40.1137,-123.94
D032525,41.06030686,-124.1229062
D032638,40.73095,-123.68512
S026300,39.22278049,-123.3324651
D032549,40.8569,-123.7495
D032840,39.8759,-123.5736
D032856,40.07008,-123.97814
D032654,40.538574,-124.162335
D032677,40.021,-123.9964
D032677,40.0181,-123.9979
D032339,40.119783,-123.942551
D032339,40.120413,-123.943981
L032931,37.07747,-119.79171
L032930,37.10697,-119.77157
S027687,40.93549082,-123.7482338
S027686,40.04874698,-123.5606825
D032311,40.1733,-123.9112
D032311,40.1698,-123.9104
D032859,39.3446,-123.2283
D032312,40.233075,-123.9560306
G362955,34.17249162,-115.7644333
S026160,39.921,-122.561
D032729,40.116014,-123.901017
L032793,39.916,-122.549
D032719,40.699433,-124.143073
S026161,39.916,-122.549
L032794,39.921,-122.561
D032532,40.06857165,-123.8292286
D032781,39.190743,-123.583652
D032754,40.948336,-123.689701
D032754,40.9461,-123.6912
S027262,40.030664,-123.611633
A017747,37.07708988,-122.0123963
L032792,39.905,-122.524
D032404,40.11123426,-123.8943434
S026162,39.905,-122.524
S027266,38.40353333,-122.8793139
S026986,40.50048433,-123.7223669
S026985,40.49740455,-123.7213667
D032722,40.14712615,-123.6431865
T032921,37.87607958,-121.7664582
D032639,40.720564,-123.669098
S026787,40.454,-123.676
D032706,39.19125786,-123.6031363
G362447,34.50743939,-117.2689207
G361738,34.44980334,-117.1989609
G361703,34.56444245,-117.286262
G363793,34.49855034,-117.2447078
G363238,34.46613395,-117.1924384
D032434,40.26924722,-123.7735472
D032434,40.26852778,-123.7748833
D032434,40.26801944,-123.7724917
G363799,34.47865817,-117.2338884
G363799,34.47865817,-117.2338884
G363798,34.47865817,-117.2338884
D032680,39.903,-123.547
G362421,34.5220182,-117.2515487
G361995,34.49324383,-117.2338638
S026971,40.341457,-124.310266
G363143,34.52385673,-117.258185
G362448,34.47873929,-117.1990154
G362845,34.49325955,-117.1990151
G363779,34.55586243,-117.2017146
D032242,40.7343,-122.0391
G363020,34.49325955,-117.1990151
G363455,34.51657843,-117.2580969
G363702,34.53100731,-117.2755628
G362366,34.49324383,-117.2338638
G363018,34.53656937,-117.2517756
G360638,34.49332621,-117.1814931
D032416,40.0188,-123.854
D032416,40.01484,-123.8597
S026898,39.25472222,-121.2547222
D032445,40.076,-123.6311
D032384,40.21229,-123.880849
D032356,40.0272,-123.751
D032298,40.1105,-123.8907
S026593,34.598852,-120.272104
S014951,34.36601851,-119.108711
S026592,34.610018,-120.276943
S026594,34.60645,-120.277231
S013570,40.6706065,-122.9130354
D032928,40.2635,-124.1072
D032928,40.2636,-124.1115
S026061,40.6706065,-122.9130354
A031824,38.5965,-122.5918
S018385,37.25982678,-122.3776319
L032789,40.113,-122.392
A030261,37.26031834,-122.3812529
A030261,37.25982701,-122.3776318
A030261,37.25466712,-122.3824855
D032660,40.087843,-123.833197
D032430,39.743,-123.4429
S022198,38.5962,-122.5922
S026153,40.113,-122.392
S018388,37.26031806,-122.381253
G193111,34.62330288,-118.3145832
L032573,37.07747,-119.79171
L032796,39.91275785,-122.55893
H032837,39.84489722,-123.4986167
L032191,38.23614832,-122.7920684
H032683,40.1841,-123.9665
S026158,39.91275785,-122.55893
L032574,37.07425249,-119.7702317
L032795,39.912,-122.554
L032575,37.10697,-119.77157
S026159,39.912,-122.554
D032541,40.01263333,-123.8389306
D032541,40.0146,-123.8362
D032585,40.16918166,-123.8708328
D032585,40.16844055,-123.8718927
G190781,34.65299457,-118.1744787
A023275,39.03751339,-120.1201615
A023275,39.02395285,-120.1424907
A023275,39.03188063,-120.1345789
S026430,39.26371667,-123.1580056
C002380,33.40745273,-117.1414963
S022817,35.1882,-120.7385
D032927,39.847,-123.2795
S021650,35.1881,-120.7386
S022432,37.1429,-119.4625
S000571,38.35818867,-121.721394
D032295,40.14626712,-123.8763665
D032295,40.14725116,-123.8751147
H032924,38.8551,-122.9754
H032924,38.8568,-122.9739
D032613,40.7655,-123.8777
D032576,40.1318,-123.7044
D032759,40.1908,-123.565
D032360,40.0683,-123.8272
D032360,40.0687,-123.8288
S010890,39.23783635,-123.2068574
S018402,38.2373,-121.4201
S027135,39.219584,-123.079114
A028597,40.75572373,-120.0997496
A031231,40.6240108,-120.5271449
S027071,40.16841111,-123.7178083
A028334,40.51029383,-120.1211499
A028756,40.75723565,-120.50201
A028042,40.57106343,-120.1103455
A028291,40.7475,-120.3059
A028063,40.60302427,-120.0753044
A028040,40.66160438,-120.1922662
S025102,40.168,-123.8837
A028071,40.58515266,-120.1351102
A028492,40.94777156,-120.1800647
A028757,40.7347564,-120.4940335
A028751,40.63736318,-120.4174839
A028041,40.59367076,-120.2246305
A028060,40.67882611,-120.2634768
A028066,40.59510295,-120.1867034
D032485,40.3789,-123.444
D032485,40.3794,-123.443
D032568,40.438373,-123.491806
D032788,38.55534901,-123.1023895
D032624,40.940433,-123.677546
D032841,41.0369,-121.8943
A031599,35.65454823,-120.8297186
A031599,35.6565622,-120.8228688
A031599,35.65755855,-120.8234411
A031176,38.95218997,-121.6345747
A031176,38.96662936,-121.6577422
S017099,35.6574,-120.8235
